title,description,categories
بلبل خرمایی,سه عدد بلبل خرمایی سه ماهه.از وقتی جوجه بودن خودم بزرگشون کردم اما دستی نیستن واسه همین قیمت پایین دادم.هر سه با هم 100تومان مقطوع مقطوع,leisure-hobbies
عینک اسکی در حد,عینک اسکی دبل لنز مارک يو وكس  در حد نو اصلی میباشد فقط ٤بار استفاده شده بدون خط و خش,leisure-hobbies
تکیه سر تویوتا پرادو,پارچه ای سالم و تمیز.,vehicles
مجسمه کریستال24%,مجسمه دکوری کریستال بالرین Rcr24%,for-the-home
کیف و ساک,هر 2 کاملا تمیز هستند,personal
کمدوبوفه,وسایل در حد نو به مشتری واقعی تخفیف میدم,personal
فروش  دوچرخه 20,"بخاطر جابجایی قصد فروش دارم وبه خریدار
تخفیف خوبی میدم.مشتری واقعی تماس بگیرد.",leisure-hobbies
تلویزیون  ال سی دی,تلویزیون سونی کم کار سالم,electronic-devices
فروشی,تلویزیون فروشی.۲۱اینچ.اسنوا,electronic-devices
چادر١٠ نفره نونونو قیمت مناسب,"چادر ده نفره جنس خوب یه بار استفاده شده کلا
تخفیف هم داره 
.
.
.
یاعلی",leisure-hobbies
قاب فرمان و دسته راهنما,"یکعدد دسته راهنمای پرایدی سالم درحد نو
یکعدد قاب فرمان سالم بدون ایراد
هردو ۳۰۰۰۰تومان",vehicles
پراید مدل 85,سلام ، رنگ یشمی بیمه تا برج 12 ،هشت سال تخفیف ، چند لکه رنگ جلو و عقب پلمپ ، موتور سالم سالم، ممنون از دیوار,vehicles
کبوتر سفید,باسلام یک سفید نر پرشی هست,leisure-hobbies
فروش سونی یک,فروش یک عدد دستگاه سونی یک با تعدادی گیم لطفا خریدار واقعی تماس بگیرد تخفیف پای معامله,electronic-devices
پراید یشمی مدل 80,پراید یشمی صندوق دار 4 حلقه لاستیک نو 6 سال تخفیف بیمه، بیمه تا برج 3,vehicles
یک جفت قناری,"سلام
نر پرتقالی سیر،تا دوهفته دیگه قرص میخونه و اماده جفت گیری
ماده سالم درشت مناسب جوجه کشی تاحالا هم جفت نخورده با سهره هم میتونید جفت بندازید
بصورت جداهم میفروشم
جفت سالم خوشرنگ و خوش صدا
""یاعلی""",leisure-hobbies
سبک جدید .مدرن,"تابلوی رنگ روغن 
قابل شستوشو",businesses
